volid,dateused,pubdate,birthdate,firstpub,gender,nation,allwords,logistic,realclass,author,title,genretags
uc1.b3324403,1860,1860,1827,1860,m,uk,85169,0.402713359179,0,"Lawrence, George A.",Sword and gown,teamred | random
20794,1968,1968,1927,1968,f,us,66342,0.671657775269,0,"Peters, Elizabeth,",The jackal's head,chirandom | teamblack
mdp.39015062658789,1881,1881,1844,1881,f,us,93231,0.337545969973,0,"Sidney, Margaret,",Five little Peppers and h,teamblack | random
22340,1985,1985,1947,1985,m,us,73314,0.522240401549,1,"Effinger, George Alec,",The nick of time,chirandom | stew | teamblack | chiscifi
uc1.b244810,1898,1898,1865,1898,m,uk,141608,0.548941447226,1,"Shiel, M. P.",The yellow danger,stew | teamblack | anatscifi
njp.32101067645505,1836,1836,1772,1836,f,us,113444,0.326590925734,1,"Griffith, Mary,","Camperdown, or, News from",stew | teamblack | locscifi
nyp.33433075766463,1908,1908,1867,1908,f,uk,82836,0.392626050686,0,"Perrin, Alice,",The stronger claim,teamred | random
23514,1964,1964,1905,1964,m,uk,120463,0.369842927361,0,"Snow, C. P.",Corridors of power,chirandom | teamblack
20649,1965,1965,1899,1965,m,us,21405,0.566034233703,0,"Nabokov, Vladimir Vladimi",The eye,chirandom | teamred
10690,1942,1942,1876,1942,f,us,97243,0.714212455873,1,"Rinehart, Mary Roberts,",The door,chirandom | teamred | chimyst | stew
20866,1970,1970,1926,1970,m,us,59925,0.697393560443,1,"Anderson, Poul,",Tau zero,chirandom | stew | teamblack | chiscifi
11141,1925,1925,1890,1925,f,uk,64569,0.683607270502,1,"Christie, Agatha,",Poirot investigates,chirandom | stew | det100 | teamblack
mdp.39015000613680,1914,1914,1868,1914,m,uk,79940,0.634392818926,1,"Bramah, Ernest,",Max Carrados,stew | det100 | teamblack
10490,1936,1936,1908,1936,f,us,75557,0.309090592974,0,"Gellhorn, Martha,",The trouble I've seen,chirandom | teamred
nyp.33433074911508,1788,1788,1749,1788,f,uk,56902,0.35275213541,1,"Smith, Charlotte,",Emmeline,teamred | pbgothic | stew
njp.32101068601341,1843,1884,1809,1843,m,us,110186,0.828561911152,1,"Poe, Edgar Allan,",Tales by Edgar Allan Poe,teamred | pbgothic | stew
pushkinqueenofspades,1834,1909,1799,1834,m,ru,9972,0.473307353624,1,"Pushkin, Alexander Sergeievich,",The Queen of Spades,stew | teamblack | lockandkey
20544,1963,1963,1922,1963,m,us,32138,0.317470775147,0,"Kerouac, Jack,",Visions of Gerard,chirandom | teamblack
20648,1965,1965,1925,1965,m,us,135334,0.526161154736,0,"Moore, Robin,",The green berets,chirandom | teamblack
10312,1929,1929,1885,1929,m,us,138414,0.252543216445,0,"Lewis, Sinclair,",Dodsworth,chirandom | teamblack
11383,1932,1932,1899,1932,m,uk,88473,0.487125821134,0,"Shute, Nevil,",Lonely road,chirandom | teamred
10310,1929,1929,1891,1929,m,us,51526,0.767406428707,1,"Kline, Otis Adelbert,",The planet of peril,stew | teamblack | chiscifi
11829,1947,1947,1895,1947,m,uk,269366,0.390896420489,0,"Hartley, L. P.",Eustace and Hilda,chirandom | teamblack
10922,1948,1948,1897,1948,m,us,78899,0.392733545243,0,"Wilder, Thornton,",The ides of March,chirandom | teamred
23200,1989,1989,1952,1989,m,us,197199,0.421843436827,1,"Somtow, S. P,",Moon dance,stew | teamblack | chihorror
21362,1976,1976,1941,1976,f,us,132401,0.573241519186,1,"Rice, Anne",Interview with the vampir,stew | teamblack | pbgothic
mdp.39015059372105,1823,1823,1794,1823,m,uk,75245,0.447146448612,0,"Lockhart, J. G.",Reginald Dalton,teamblack | random
20414,1960,1960,1907,1960,f,us,165835,0.541321944829,0,"MacInnes, Helen,",Decision at Delphi,chirandom | teamblack
nyp.33433082170576,1847,1847,1809,1847,m,us,46845,0.452966152957,0,"Arthur, T. S.",Lovers and husbands,teamred | random
mdp.39015021039980,1821,1892,1782,1821,m,uk,95790,0.625945631185,1,"Maturin, Charles Robert,",Melmoth the wanderer,teamred | pbgothic | stew
uiuo.ark+=13960=t58d0ds3h,1868,1868,0,1868,m,uk,84409,0.30214216065,0,"Knight, Legh.",Tonic bitters,teamred | random
10803,1946,1946,1903,1946,m,us,79309,0.447162297699,0,"Busch, Niven,",Day of the conquerors,chirandom | teamblack
njp.32101068580768,1868,1868,1832,1868,f,us,26256,0.248841904601,0,"Alcott, Louisa May,",Kitty's class day ;,teamblack | random
22803,1987,1987,1953,1987,m,us,98081,0.710624087568,1,"Williams, Walter Jon,",Voice of the whirlwind,chirandom | stew | teamblack | chiscifi
uva.x001705067,1917,1917,1876,1917,m,us,112883,0.469616329261,0,"London, Jack,","Michael, brother of Jerry",teamred | random
10403,1933,1933,1900,1933,m,us,95147,0.529438935182,1,"Endore, S. Guy,",The werewolf of Paris,stew | chifantasy | teamblack | chihorror
10362,1931,1931,1892,1931,m,us,92070,0.494120964877,1,"Smith, Thorne,",The night life of the god,stew | chifantasy | teamblack | chiscifi
10361,1931,1931,1895,1931,m,us,53589,0.514333541532,1,"Schuyler, George S.",Black no more,stew | teamblack | chiscifi
nyp.33433075737753,1890,1891,1848,1890,m,ah,67598,0.366332928835,0,"Franzos, Karl Emil,",Judith Trachtenberg,teamred | random
uc2.ark+=13960=t1dj5cf2j,1886,1920,1853,1886,m,fr,60294,0.345872023078,0,"Lemaître, Jules,",Serenus and other stories,teamred | random
22488,1986,1986,1923,1986,m,us,124379,0.6988708739,1,"Dickson, Gordon R,",The forever man,teamred | chiscifi | stew
21318,1976,1976,0,1976,m,us,117552,0.597360669629,1,"Farris, John,",The fury,stew | teamblack | chihorror
uva.x000676502,1899,1899,1846,1899,m,us,82929,0.450952430735,0,"Thornton, Marcellus Eugen","My ""budie"" and I",teamred | random
21104,1959,1973,1909,1959,m,us,51395,0.581712041444,1,"Himes, Chester B.",The crazy kill,chirandom | chimyst | stew | hardboiled | teamred
uc1.32106001980371,1905,1911,1878,1905,m,uk,15559,0.435434280352,1,"Dunsany, Edward John More",The gods of Pegāna,stew | teamblack | pbgothic
11681,1941,1941,1902,1941,f,uk,88729,0.359205030346,0,"Heyer, Georgette,",Faro's daughter,chirandom | teamred
njp.32101067630820,1867,1899,1840,1867,f,uk,166400,0.338862374108,1,"Broughton, Rhoda,",Not Wisely But Too Well,teamred | sensation | stew
10621,1940,1940,1906,1940,m,us,76045,0.735791118488,1,"Rawson, Clayton,",The headless lady,teamred | chimyst | stew
njp.32101038161780,1816,1816,1749,1816,f,uk,79624,0.399342875612,0,"Lewis, Alethea,",Rhoda,teamblack | random
dul1.ark+=13960=t6834qb4k,1788,1788,1763,1788,m,uk,9979,0.474099812604,0,"Berkeley, George Monck,",Heloise: or The siege of ,teamred | random
nyp.33433074897426,1896,1913,1864,1896,m,uk,77723,0.406695405508,0,"Merrick, Leonard,",This stage of fools,teamred | random
11044,1932,1932,1894,1932,m,uk,143413,0.427090510969,0,"Morgan, Charles,",The fountain,chirandom | teamred
21569,1978,1978,1943,1978,m,us,64969,0.486733887167,1,"Sanchez, Thomas,",Zoot-suit murders,stew | teamblack | chimyst
nyp.33433074968045,1917,1917,1859,1917,m,other,81135,0.666526410176,1,"Doyle, Arthur Conan,",His last bow,teamred | locdetmyst | stew
22783,1987,1987,1943,1987,f,us,154100,0.407004368048,0,"Spencer, LaVyrle,",The gamble,chirandom | teamred
20450,1961,1961,1920,1961,m,us,58539,0.780845366168,1,"Galouye, Daniel F,",Dark universe,teamred | chiscifi | stew
22787,1987,1987,1943,1987,m,us,70972,0.340823087257,0,"Swift, Edward,",A place with promise,chirandom | teamred
11469,1935,1935,1891,1935,m,au,73279,0.458714401771,0,"McKinney, J. P,",Crucible,chirandom | teamred
11468,1935,1935,1895,1935,f,nz,61344,0.639681605819,1,"Marsh, Ngaio,",The nursing home murder,chirandom | stew | teamblack | chimyst | cozy
21851,1981,1981,1934,1981,m,us,63052,0.45445511392,0,"Jones, Robert F.",Slade's glacier,chirandom | teamred
20737,1967,1967,1923,1967,f,us,59956,0.485091948917,0,"Fox, Paula,",Poor George,chirandom | teamblack
11462,1935,1935,1902,1935,f,uk,125384,0.373167882694,0,"Heyer, Georgette,",Regency buck,chirandom | teamblack
10793,1945,1945,1874,1945,f,us,108978,0.303023563891,0,"Stein, Gertrude,",Wars I have seen,chirandom | teamred
uiuo.ark+=13960=t2697pf21,1880,1880,1835,1880,f,uk,55186,0.365088245252,1,"Braddon, M. E.",The Story of Barbara,stew | teamblack | sensation
20194,1955,1955,1912,1955,f,us,101574,0.385924769669,0,"McCarthy, Mary",A charmed life,chirandom | teamred
nyp.33433074879481,1914,1914,1863,1914,m,uk,120258,0.385416021432,0,"Locke, William John,",The fortunate youth,teamblack | random
nyp.33433022846707,1850,1850,1812,1850,m,us,121578,0.576773087448,0,"Myers, P. Hamilton",The King of the Hurons,teamblack | random
mdp.39015038723360,1860,1906,1824,1860,m,uk,285690,0.522235948645,1,"Collins, Wilkie,",The woman in white,teamred | sensation | pbgothic | stew
20428,1960,1960,1926,1960,m,us,68260,0.381429523005,0,"Sigal, Clancy,",Weekend in Dinlock,chirandom | teamblack
11101,1940,1940,1888,1940,m,us,80894,0.580958532489,1,"Chandler, Raymond,",Farewell My Lovely,stew | det100 | teamblack | hardboiled
nyp.33433074874748,1796,1796,1775,1796,m,uk,63096,0.670509767076,1,"Lewis, M. G.",The monk,stew | teamblack | pbgothic
20427,1960,1960,1928,1960,m,us,52995,0.653110620956,1,"Sheckley, Robert,",Store of infinity,stew | teamblack | chiscifi
mdp.39015010330341,1877,1877,1822,1877,f,uk,12415,0.798364349755,1,"Cobbe, Frances Power,",The age of science,teamred | femscifi | stew
10353,1931,1931,1865,1931,f,us,72080,0.333108596336,0,"Hill, Grace Livingston,",The chance of a lifetime,chirandom | teamred
11043,1932,1932,1894,1932,m,uk,64722,0.50643086242,1,"Huxley, Aldous,",Brave new world,chiutopia | teamblack | chiscifi | stew
nnc1.0037104152,1795,1798,1732,1795,m,uk,76058,0.429748324284,0,"Cumberland, Richard,",Henry,teamred | random
10359,1931,1931,0,1931,m,us,72810,0.807287626393,1,"Queen, Ellery,",The Dutch shoe mystery,teamred | det100 | chimyst | stew
10962,1949,1949,1886,1949,m,us,71271,0.627326582786,1,"Stout, Rex,",The second confession,teamred | det100 | chimyst | stew
coo.31924014157121,1891,1908,1854,1891,m,uk,90578,0.410653875734,1,"Wilde, Oscar,",The picture of Dorian Gra,stew | teamblack | pbgothic
21035,1972,1972,1929,1972,m,us,33124,0.425661920418,1,"Levin, Ira,",The Stepford wives,stew | teamblack | chihorror | chiscifi
nyp.33433074870282,1907,1907,1861,1907,m,uk,108516,0.314074972997,0,"Hewlett, Maurice,",The stooping lady,teamred | random
uc2.ark+=13960=t53f4sg3b,1875,1875,1811,1875,m,fr,63183,0.418541384916,0,"Walraven, E. G.","The two orphans, or, The ",teamred | random
uc1.b250127,1864,1864,1814,1864,m,uk,66648,0.46671221525,1,"Le Fanu, Joseph Sheridan,",Uncle Silas,teamred | sensation | pbgothic | stew
20922,1970,1970,1918,1970,m,us,60172,0.603465060623,1,"Spillane, Mickey,",Survival Zero,chimyst | teamblack | hardboiled | stew
uc1.b250129,1864,1864,1814,1864,m,uk,67608,0.514910369732,1,"Le Fanu, Joseph Sheridan,",Uncle Silas,teamred | sensation | pbgothic | stew
uc1.b3578701,1880,1880,1836,1880,m,uk,92398,0.585477640022,1,"Greg, Percy,",Across the zodiac,stew | teamblack | anatscifi | locscifi
10526,1937,1937,1866,1937,m,us,91668,0.734604607925,1,"Pseudoman, Akkad,",Zero to eighty,chirandom | stew | teamblack | chiscifi
21453,1977,1977,0,1977,f,us,156910,0.373228843494,0,"Michaels, Fern,",Captive passions,chirandom | teamblack
21351,1976,1976,1938,1976,m,us,76067,0.685257561407,1,"Niven, Larry,",A world out of time,stew | teamblack | chiscifi
uc1.$b382267,1891,1891,0,1891,,,69022,0.612239402167,1,Anonymous9,Eleven possible cases,stew | teamblack | locdetmyst
20720,1966,1966,1933,1966,m,us,52613,0.592455791961,1,"Westlake, Donald E,",The busy body,teamred | chimyst | stew
JacksonHillHouse1959,1959,1959,1916,1959,f,us,64563,0.497044564047,1,"Jackson, Shirley,",The Haunting of Hill House,stew | teamblack | pbgothic
21142,1973,1973,1945,1973,m,us,49098,0.614216529407,0,"Spencer, Scott,",Last night at the brain t,chirandom | teamblack
21631,1979,1979,1947,1979,m,us,151731,0.498818690756,1,"King, Stephen,",The dead zone,stew | teamblack | chihorror | chiscifi
uc1.b249543,1898,1898,1831,1898,f,uk,83269,0.304238036166,0,"Barr, Amelia Edith Huddle",The lost silver of Briffa,teamblack | random
mdp.39015010776881,1918,1918,1869,1918,m,us,100008,0.502295250509,1,"Post, Melville Davisson,","Uncle Abner, master of my",stew | det100 | teamblack
10661,1942,1942,1899,1942,f,us,89107,0.67815976065,1,"Eberhart, Mignon Good",Wolf in man's clothing,stew | det100 | teamblack | cozy
uc1.b4101364,1863,1863,1815,1863,m,uk,84241,0.303080712544,0,"Trollope, Anthony,",Rachel Ray,teamred | random
uc2.ark+=13960=t1sf2p11n,1867,1867,1814,1867,f,ge,237519,0.397381230939,0,"Mühlbach, L.",Marie Antoinette and her ,teamblack | random
11724,1943,1943,1905,1943,m,uk,69190,0.405200417206,0,"Green, Henry,",Caught,chirandom | teamblack
uiuo.ark+=13960=t6xw4rw1j,1803,1803,1780,1803,f,uk,65500,0.60784545635,1,"Cuthbertson, Catherine.",Romance of the Pyrenees,stew | teamblack | stangothic
21686,1980,1980,0,1980,f,us,157033,0.307808974688,1,"Andrews, V. C.  (Virginia",Petals on the wind,teamred | chihorror | stew
dul1.ark+=13960=t16m3xm4f,1922,1922,1872,1922,f,uk,67151,0.542657137586,1,"Hamilton, Cicely,",Theodore savage,teamred | femscifi | anatscifi | stew
uc2.ark+=13960=t10p0xs0f,1908,1908,1883,1908,m,us,63537,0.478337167736,1,"Harding, Ellison.",The woman who vowed,stew | teamblack | locscifi
uva.x000180089,1850,1889,1804,1850,m,us,101953,0.570708039032,1,"Hawthorne, Nathaniel,",The scarlet letter,teamred | pbgothic | stew
nyp.33433074911532,1788,1788,1749,1788,f,uk,87648,0.404199501497,1,"Smith, Charlotte,",Emmeline,stew | teamblack | pbgothic
11098,1950,1950,1919,1950,f,uk,77525,0.34975302243,1,"Lessing, Doris,",The grass is singing,chirandom | teamred | chimyst | stew
11252,1929,1929,1893,1929,m,uk,66582,0.74172495426,1,"Berkeley, Anthony,",The poisoned chocolates c,stew | teamblack | chimyst
nyp.33433082524822,1920,1920,1877,1920,m,us,16971,0.243466325458,0,"Bailey, Arthur Scott,",The tale of Grumpy Weasel,teamblack | random
nyp.33433076060080,1910,1914,1873,1910,m,us,145372,0.347675649523,0,"Palmer, Frederick,",The big fellow,teamblack | random
inu.39000002156706,1903,1903,1862,1903,m,uk,83427,0.412847444533,1,"Benson, Arthur Christophe",The hill of trouble and o,stew | teamblack | pbgothic
11584,1938,1938,1894,1938,m,uk,88458,0.503909885781,1,"Priestley, J. B.",The doomsday men,teamred | chiscifi | stew
10916,1948,1948,1904,1948,m,us,95322,0.543346905618,0,"Skinner, B. F.",Walden Two,chirandom | chiutopia | teamblack
nyp.33433074920608,1858,1858,1835,1858,m,uk,51603,0.37827530745,0,"Austin, Alfred,",Five years of it,teamred | random
njp.32101067707909,1874,1874,1834,1874,m,us,223929,0.338724551953,0,"Benedict, Frank Lee,",John Worthington's name,teamred | random
20481,1962,1962,1914,1962,m,us,59134,0.749424897279,0,"Burroughs, William S.",The ticket that exploded,chirandom | teamblack
23601,1987,1987,1954,1987,f,uk,253701,0.301801961052,0,"Gregory, Philippa,",Wideacre,chirandom | teamred
mdp.39015021039998,1820,1892,1782,1820,m,uk,99975,0.675954923665,1,"Maturin, Charles Robert,",Melmoth the wanderer,stew | teamblack | pbgothic
nyp.33433075761720,1888,1888,1838,1888,m,uk,58823,0.573403785405,0,"Farjeon, B. L.",Miser Farebrother,teamblack | random
nyp.33433081585105,1832,1840,1783,1832,m,us,160205,0.472020795094,1,"Irving, Washington,",Tales of the Alhambra,stew | teamblack | pbgothic
nyp.33433074878889,1837,1837,1797,1837,m,uk,183975,0.409934237617,0,"Lover, Samuel,",Rory O'More,teamblack | random
23075,1989,1989,0,1989,f,us,85176,0.585338578961,1,"Dunlap, Susan,",Pious deception,chirandom | teamred | chimyst | stew
20102,1953,1953,1905,1953,f,us,46139,0.38621068273,0,"Lasswell, Mary,",Tooner Schooner,chirandom | teamred
uva.x000459624,1897,1897,1840,1897,m,uk,74230,0.505798680271,0,"Hardy, Thomas,",The well-beloved;,teamblack | random
nyp.33433074939723,1888,1888,1836,1888,m,uk,71562,0.50355165336,1,"Besant, Walter,",The inner house,stew | teamblack | anatscifi
21094,1973,1973,1933,1973,m,us,132491,0.470870930528,0,"Gardner, John,",Jason and Medeia,chirandom | teamred | chifantasy
uc1.b248234,1803,1803,0,1803,,,60332,0.545288420951,0,Anonymous7,"Barbara Markham; or, The profligate requited;",teamblack | random
dul1.ark+=13960=t1qf9cr59,1906,1906,1851,1906,m,uk,32292,0.574018201048,1,"Ford, Douglas Morey.",A time of terror,stew | teamblack | locscifi
uiuo.ark+=13960=t1rf6b61z,1820,1820,1769,1820,f,uk,72914,0.363926619185,0,"Opie, Amelia Alderson,",Tales of the heart,teamblack | random
21079,1973,1973,1914,1973,m,us,70772,0.511688295631,0,"Berryman, John,",Recovery,chirandom | teamred
20070,1952,1952,1914,1952,m,us,73024,0.400896034587,0,"Malamud, Bernard",The natural,chirandom | teamblack
uc1.$b813705,1876,1905,1819,1876,m,us,94691,0.554465846932,1,"Pinkerton, Allan,",The spiritualists and the,stew | teamblack | locdetective
21179,1974,1974,1925,1974,m,us,53883,0.653570118795,1,"Harrison, Harry,",Queen Victoria's revenge,stew | teamblack | chimyst
20078,1952,1952,1918,1952,m,us,69283,0.575145945021,1,"Spillane, Mickey,",Kiss me: deadly,chirandom | chimyst | teamblack | hardboiled | stew
mdp.39015000551799,1838,1867,1812,1838,m,uk,206620,0.493046831753,1,"Dickens, Charles,",Oliver Twist,teamred | pbgothic | stew
21488,1978,1978,1927,1978,m,us,106156,0.454011908553,0,"Adler, Warren,",The Casanova embrace,chirandom | teamblack
mdp.39015002313487,1837,1915,1804,1837,m,us,124899,0.56064703215,1,"Hawthorne, Nathaniel,",Twice-told tales,stew | teamblack | pbgothic
11074,1942,1942,1898,1942,m,uk,36852,0.41989902512,0,"Lewis, C. S.",The Screwtape letters,chirandom | chifantasy | teamblack
mdp.39015024230610,1785,1785,1746,1785,f,fr,35170,0.273145544821,0,"Genlis, Stéphanie Félicité",Tales of the castle;,teamred | random
11073,1942,1942,1897,1942,m,uk,76728,0.346762567112,0,"Knight, Eric,",Sam Small flies again (Th,chirandom | teamblack
21552,1978,1978,1946,1978,m,us,103126,0.686868670299,1,"Lustbader, Eric,",Shallows of night,teamred | chiscifi | stew
mdp.39015030365178,1903,1904,1842,1903,m,fr,5384,0.457808537412,0,"Lafargue, Paul,",The sale of an appetite,teamblack | random
uc2.ark+=13960=t9571nb3d,1866,1866,1819,1866,m,uk,200937,0.305855564712,0,"Kingsley, Charles,",Hereward,teamblack | random
20350,1958,1958,1912,1958,m,us,188735,0.359392157486,0,"Taylor, Robert Lewis,",The travels of Jaimie McP,chirandom | teamred
uva.x000674483,1888,1888,1851,1888,f,uk,97711,0.43475777703,0,"Ward, Humphry,",Robert Elsmere,teamblack | random
10270,1927,1927,1865,1927,f,us,109671,0.441959310937,0,"Hill, Grace Livingston,",Job's niece,chirandom | teamblack
mdp.39015066036578,1889,1896,1835,1889,m,us,139609,0.430060324714,1,"Twain, Mark,",A Connecticut Yankee in K,stew | teamblack | anatscifi
uc2.ark+=13960=t44q7rc7f,1874,1874,1834,1874,m,us,60352,0.363305591911,0,"Stockton, Frank Richard,",What might have been expe,teamblack | random
uc2.ark+=13960=t0cv4hf87,1888,1888,1843,1888,m,,45000,0.498484978268,1,"Gibbon, Charles,",Beyond compare,stew | teamblack | locdetmyst
10700,1943,1943,1892,1943,m,us,35458,0.541830100839,1,"Cain, James M.",Double indemnity,chimyst | stew | hardboiled | teamred
uiuo.ark+=13960=t8w95tz11,1803,1803,1772,1803,m,uk,55051,0.565979508948,1,"Walker, George,",Don Raphael,teamred | stangothic | stew
nyp.33433076060874,1865,1865,1801,1865,m,us,209463,0.409674954676,0,"Murdoch, David.",The Royalist's daughter a,teamred | random
11606,1939,1939,1862,1939,m,uk,87384,0.840051456282,1,"Freeman, R. Austin,",The stoneware monkey,teamred | chimyst | stew
20677,1966,1966,1922,1966,m,us,82684,0.25956814022,0,"Capps, Benjamin,",A woman of the people,chirandom | teamred
mdp.39015033367668,1791,1791,1729,1791,f,uk,50017,0.232575183896,1,"Reeve, Clara,",The school for widows,stew | teamblack | stangothic
uc2.ark+=13960=t2794143s,1912,1917,1875,1912,m,us,74999,0.671732243181,1,"Burroughs, Edgar Rice,",A princess of Mars,teamred | anatscifi | stew
uc2.ark+=13960=t3bz6dj56,1863,1899,1814,1863,m,uk,204159,0.417429708369,1,"Reade, Charles,",Hard Cash,teamred | sensation | stew
mdp.39015011950766,1896,1896,1869,1896,us,us,60791,0.631496430539,1,"Post, Melville Davisson,",The strange schemes of Ra,teamred | det100 | stew
23117,1989,1989,1950,1989,m,us,74204,0.700836827209,1,"Jeter, K. W,",Farewell horizontal,teamred | chiscifi | stew
uc1.b3578934,1891,1891,1842,1891,m,us,64696,0.661735940138,1,"Bierce, Ambrose,",Tales of soldiers and civ,stew | teamblack | pbgothic
nyp.33433079897819,1892,1892,1842,1892,m,us,28898,0.38042019054,0,"Bierce, Ambrose,",The monk and the hangman',teamblack | random
11298,1930,1930,1882,1930,m,au,105557,0.406903773584,0,"Manning, Frederic,",Her privates: we,chirandom | teamblack
mdp.39015005076883,1798,1887,1771,1798,m,us,80996,0.801839434455,1,"Brown, Charles Brockden,","Wieland; or, The transfor",teamred | pbgothic | stew
20956,1971,1971,0,1971,m,us,29308,0.539063442307,1,"Geissler, Ludwig A,",Looking beyond,chiutopia | stew | chiscifi | teamred
10460,1934,1934,1904,1934,m,us,74764,0.64819292267,1,"Teilhet, Darwin L.",The talking sparrow murde,stew | teamblack | chimyst
10588,1939,1939,1886,1939,m,us,71953,0.631233739325,1,"Stout, Rex,",Mountain cat Murders,teamred | det100 | chimyst | stew
nyp.33433082251855,1919,1919,1857,1919,f,us,97188,0.348687233403,0,"Atherton, Gertrude Frankl",Transplanted;,teamred | random
uc2.ark+=13960=t1mg7hw3f,1833,1880,1803,1833,m,uk,140001,0.364764714594,1,"Lytton, Edward Bulwer Lyt",Godolphin,stew | teamblack | pbgothic
nnc1.cu01664417,1900,1917,1869,1900,m,us,57029,0.358598363171,0,"Tarkington, Booth,",Monsieur Beaucaire,teamblack | random
uiuo.ark+=13960=t42r4bj1d,1867,1867,1830,1867,m,uk,52352,0.438029443671,0,"Kirkus, William,",Only to be married,teamblack | random
uc1.b3326097,1840,1840,1788,1840,m,uk,198248,0.330284498254,0,"Hook, Theodore Edward,","Cousin Geoffrey, the old ",teamred | random
njp.32101068138443,1892,1892,1851,1892,m,us,108069,0.618188278886,1,"Bradshaw, William R.",The goddess of Atvatabar,stew | teamblack | locscifi
JamesTurnOfScrew1898,1898,1898,1843,1898,m,us,42814,0.603834729815,1,"James, Henry,",The Turn of the Screw,teamred | pbgothic | stew
nyp.33433074868807,1838,1838,1799,1838,m,uk,106538,0.495893442746,0,"James, G. P. R.",The robber,teamred | random
23487,1957,1957,1915,1957,m,uk,73488,0.763425550524,1,"Hoyle, Fred,",The black cloud,stew | teamblack | chiscifi
uc2.ark+=13960=t5t728t8q,1796,1796,1752,1796,f,uk,88922,0.370814760025,0,"Burney, Fanny,","Camilla: or, A picture of",teamblack | random
22897,1988,1988,1951,1988,f,us,103451,0.716714673886,1,"Hambly, Barbara",Those who hunt the night,stew | chifantasy | teamblack | pbgothic
11896,1949,1949,1878,1949,f,uk,88125,0.526605889404,0,"Wentworth, Patricia,",The Catherine-wheel,chirandom | teamred
uiuo.ark+=13960=t9h41nx14,1786,1816,1760,1786,m,uk,43527,0.571266974912,1,"Beckford, William,",Vathek,stew | teamblack | pbgothic
21043,1972,1972,1943,1972,m,us,118057,0.558028821984,0,"Millhauser, Steven,",Edwin Mullhouse,chirandom | teamred
21511,1978,1978,1943,1978,m,us,77426,0.551652086921,1,"Daniels, Les,",The black castle,teamred | chihorror | stew
uiuo.ark+=13960=t00z7jj1c,1823,1823,1788,1823,m,uk,43736,0.606034256077,1,"Gaspey, Thomas,","Other times; or, the monks of Leadenhall",stew | teamblack | stangothic
23139,1989,1989,1936,1989,m,us,102868,0.445319726037,0,"McMurtry, Larry,",Some can whistle,chirandom | teamblack
20936,1971,1971,1928,1971,m,us,100348,0.664923367435,1,"Blatty, William Peter",The exorcist,stew | teamblack | pbgothic
11022,1925,1925,1873,1925,m,uk,101472,0.454811500593,0,"Ford, Ford Madox,",No more parades,chirandom | teamred
10514,1937,1937,1903,1937,f,us,105185,0.289303560621,0,"Bristow, Gwen,",Deep summer,chirandom | teamblack
uc1.b250128,1864,1864,1814,1864,m,uk,66557,0.402344809704,1,"Le Fanu, Joseph Sheridan,",Uncle Silas,stew | teamblack | sensation | pbgothic
mdp.39015004274992,1846,1882,1804,1846,m,us,103938,0.610503411085,1,"Hawthorne, Nathaniel,",Mosses from an old manse,teamred | pbgothic | stew
21603,1979,1979,1950,1979,f,us,77380,0.499620499948,0,"Braverman, Kate,",Lithium for Medea,chirandom | teamblack
21607,1979,1979,1935,1979,m,us,78785,0.688067594694,0,"Cline, C. Terry,",Cross current,chirandom | teamblack
nyp.33433082485636,1918,1918,1885,1918,m,us,32414,0.427691456276,0,"Hunt, Edward Eyre,",Tales from a famished lan,teamred | random
uc2.ark+=13960=t3rv0jp0n,1832,1832,1800,1832,f,uk,75645,0.418899531243,1,"Hall, Anna Maria",The buccaneer,teamred | locdetmyst | stew
uiuo.ark+=13960=t9474zg09,1883,1883,1829,1883,m,uk,67641,0.365708126879,0,"Oliphant, Laurence,",Altiora Peto,teamred | random
11730,1943,1943,1895,1943,f,nz,94644,0.512155326541,1,"Marsh, Ngaio,",Colour scheme,chirandom | teamred | chimyst | stew
20743,1967,1967,1929,1967,m,us,60089,0.402910014498,1,"Levin, Ira,",Rosemary's baby,stew | teamblack | pbgothic | chihorror
21126,1973,1973,1936,1973,f,us,217500,0.322184297761,0,"Piercy, Marge,",Small changes,chirandom | teamred
mdp.39015063994266,1832,1832,1779,1832,m,uk,61916,0.425296791103,0,"Galt, John,",Stanley Buxton;,teamred | random
uc2.ark+=13960=t48p64044,1894,1894,1832,1894,m,uk,140615,0.395344479074,0,"Henty, G. A.",When London burned,teamblack | random
11323,1931,1931,1880,1931,m,uk,70182,0.650189005825,1,"Connington, J. J.",The boathouse riddle,chirandom | stew | teamblack | chimyst
20526,1962,1962,1886,1962,m,us,55285,0.645464871075,1,"Stout, Rex,",Gambit,chirandom | stew | teamblack | chimyst
20522,1962,1962,1921,1962,m,us,79278,0.551565237297,1,"Shannon, Dell,",Extra kill,stew | teamblack | chimyst
wu.89099780959,1865,1877,1839,1865,f,uk,274099,0.453441416151,1,"Ouida,",Strathmore,teamred | sensation | stew
21739,1980,1980,1932,1980,m,us,261632,0.484790838294,0,"Jakes, John,",The Americans,chirandom | teamblack
21734,1980,1980,1927,1980,m,us,97176,0.511824338172,0,"Herzog, Arthur,",Aries rising,chirandom | teamred
10986,1950,1950,1914,1950,m,us,93585,0.275235407348,0,"Fast, Howard,",The proud and the free,chirandom | teamblack
mdp.39015063949229,1894,1894,1862,1894,m,uk,126135,0.460907191361,0,"Scott, Hugh Stowell,",With edged tools;,teamblack | random
